task,difficulty,reward,verifier_status,verifier_passed,verifier_total,end_status,native_finish_reason,model_responses,tool_calls,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,trace_usage_observed,trace_source,agent_time_seconds,verifier_time_seconds,end_to_end_time_seconds,finished_at,attempt_count,trial_name,result_path
adaptive-rejection-sampler,Medium,1,passed,9,9,timeout,product deadline,6,6,88231,117248,,42146,,True,agent/dsh-events.jsonl,907.044219,35.600244,1003.494943,2026-09-03T06:03:28.304217Z,1,adaptive-rejection-sampler__qQDbPWz,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-46-44/adaptive-rejection-sampler__qQDbPWz/result.json
bn-fit-modify,Hard,1,passed,9,9,completed,completed,17,16,26918,57024,,5984,,True,agent/dsh-events.jsonl,849.200424,449.00696,1363.055802,2026-09-02T13:52:27.886915Z,1,bn-fit-modify__b5Vvf3j,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__13-29-44/bn-fit-modify__b5Vvf3j/result.json
break-filter-js-from-html,Medium,1,passed,1,1,completed,completed,18,19,39341,127424,,10740,,True,agent/dsh-events.jsonl,367.5729,40.484919,478.392365,2026-09-03T05:46:37.719970Z,1,break-filter-js-from-html__gfYoWui,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-38-39/break-filter-js-from-html__gfYoWui/result.json
build-cython-ext,Medium,0,failed,9,11,max_turn,max_turns,50,50,46723,430336,,6021,,True,agent/dsh-events.jsonl,695.654431,11.995459,767.299024,2026-09-03T06:10:16.323441Z,1,build-cython-ext__tCrfJjc,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-57-28/build-cython-ext__tCrfJjc/result.json
build-pmars,Medium,1,passed,4,4,completed,completed,26,26,25419,129728,,3894,,True,agent/dsh-events.jsonl,243.593741,22.297331,304.648412,2026-09-03T06:04:51.009617Z,1,build-pmars__wQdQgvX,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-59-45/build-pmars__wQdQgvX/result.json
build-pov-ray,Medium,1,passed,3,3,max_turn,max_turns,50,54,208583,678592,,7182,,True,agent/dsh-events.jsonl,633.979789,267.773401,1003.896751,2026-09-02T13:29:38.265484Z,1,build-pov-ray__yrt47yd,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__13-12-54/build-pov-ray__yrt47yd/result.json
caffe-cifar-10,Medium,0,failed,2,6,max_turn,max_turns,50,50,114442,448512,,14217,,True,agent/dsh-events.jsonl,1552.69606,20.658329,1628.531911,2026-09-02T11:41:35.918370Z,1,caffe-cifar-10__kjojTQP,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__11-14-26/caffe-cifar-10__kjojTQP/result.json
cancel-async-tasks,Hard,1,passed,6,6,completed,completed,12,11,29031,80768,,11518,,True,agent/dsh-events.jsonl,233.558007,32.489056,298.267135,2026-09-03T06:08:34.079614Z,1,cancel-async-tasks__6iKmLXJ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-03-35/cancel-async-tasks__6iKmLXJ/result.json
chess-best-move,Medium,0,failed,0,1,timeout,product deadline,27,27,142379,350720,,30412,,True,agent/dsh-events.jsonl,907.097683,29.600629,988.261003,2026-09-03T06:21:26.319761Z,1,chess-best-move__7zakCoy,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-04-57/chess-best-move__7zakCoy/result.json
circuit-fibsqrt,Hard,1,passed,3,3,completed,completed,9,10,223302,282368,,69017,,True,agent/dsh-events.jsonl,1113.547122,99.839696,1272.350892,2026-09-02T14:13:48.218155Z,1,circuit-fibsqrt__kBEHfsg,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__13-52-35/circuit-fibsqrt__kBEHfsg/result.json
