task,difficulty,reward,verifier_status,verifier_passed,verifier_total,end_status,native_finish_reason,model_responses,tool_calls,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,trace_usage_observed,trace_source,agent_time_seconds,verifier_time_seconds,end_to_end_time_seconds,finished_at,attempt_count,trial_name,result_path
adaptive-rejection-sampler,Medium,0,failed,0,9,timeout,ProductDeadlineExpired,3,4,1858,42752,0,40355,40185,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,908.626235,37.343862,974.572382,2026-09-08T21:34:07.525789Z,1,adaptive-rejection-sampler__6sm2ukC,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-17-01-846466__adaptive-rejection-sampler/adaptive-rejection-sampler__6sm2ukC/result.json
bn-fit-modify,Hard,1,passed,9,9,completed,run.completed,28,27,58396,516032,0,9693,935,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1203.680864,319.53686,1551.900069,2026-09-08T14:22:01.556067Z,1,bn-fit-modify__gumB8Fw,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__13-55-10-573904__bn-fit-modify/bn-fit-modify__gumB8Fw/result.json
break-filter-js-from-html,Medium,1,passed,1,1,completed,run.completed,32,32,66201,596736,0,28735,25661,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,708.930091,35.077625,772.047879,2026-09-08T21:12:27.396309Z,1,break-filter-js-from-html__HuKh9CQ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__20-58-36-834481__break-filter-js-from-html/break-filter-js-from-html__HuKh9CQ/result.json
build-cython-ext,Medium,0,failed,10,11,max_turn,api_call_count reached max_turns=90,90,104,80408,3116288,0,8549,412,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,857.452938,10.790203,906.924111,2026-09-08T21:39:15.373150Z,1,build-cython-ext__gcXD8BY,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-23-05-535089__build-cython-ext/build-cython-ext__gcXD8BY/result.json
build-pmars,Medium,1,passed,4,4,completed,run.completed,28,33,26139,478976,0,2909,468,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,299.114101,24.668943,351.518427,2026-09-08T21:36:40.290351Z,1,build-pmars__xjk2ret,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-29-54-749975__build-pmars/build-pmars__xjk2ret/result.json
build-pov-ray,Medium,0,failed,2,3,completed,run.completed,54,81,80938,1608640,0,8800,2287,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1217.651666,79.710556,1335.538097,2026-09-09T04:53:41.609936Z,3,build-pov-ray__SFsQ6aK,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__04-30-21-022119__build-pov-ray/build-pov-ray__SFsQ6aK/result.json
caffe-cifar-10,Medium,0,failed,1,6,max_turn,api_call_count reached max_turns=90,90,90,113483,2390528,0,8828,273,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,2230.342706,24.816987,2292.240591,2026-09-08T07:32:25.013990Z,1,caffe-cifar-10__8gfRubG,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__06-53-13-922498__caffe-cifar-10/caffe-cifar-10__8gfRubG/result.json
cancel-async-tasks,Hard,0,failed,5,6,timeout,ProductDeadlineExpired,72,72,76237,1939392,0,37240,21137,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,908.373629,37.998692,974.533343,2026-09-08T21:51:25.697503Z,1,cancel-async-tasks__hwiYQhi,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-34-13-020401__cancel-async-tasks/cancel-async-tasks__hwiYQhi/result.json
chess-best-move,Medium,0,failed,0,1,timeout,ProductDeadlineExpired,22,22,18929,397376,0,26106,22051,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,921.849271,27.016383,977.047463,2026-09-08T21:53:58.047352Z,1,chess-best-move__aqZFo4F,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-36-45-277074__chess-best-move/chess-best-move__aqZFo4F/result.json
circuit-fibsqrt,Hard,0,failed,2,3,max_token,finish_reason=length,1,2,335,14080,0,170,130,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1836.840366,44.274166,1908.504223,2026-09-08T14:54:48.338511Z,1,circuit-fibsqrt__UyMuPwJ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__14-22-08-076109__circuit-fibsqrt/circuit-fibsqrt__UyMuPwJ/result.json
cobol-modernization,Easy,0,failed,1,3,timeout,ProductDeadlineExpired,9,14,11593,149824,0,17953,15067,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,907.839627,24.277123,959.608745,2026-09-08T21:56:12.529223Z,1,cobol-modernization__HYA3LEz,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-39-20-672211__cobol-modernization/cobol-modernization__HYA3LEz/result.json
