task,difficulty,reward,verifier_status,verifier_passed,verifier_total,end_status,native_finish_reason,model_responses,tool_calls,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,trace_usage_observed,trace_source,agent_time_seconds,verifier_time_seconds,end_to_end_time_seconds,finished_at,attempt_count,trial_name,result_path
adaptive-rejection-sampler,Medium,0,failed,0,9,timeout,deadline,0,0,,,,,,False,agent/pi.txt,907.437248,34.798776,1007.73839,2026-09-07T15:36:26.501978Z,1,adaptive-rejection-sampler__ZmDHprq,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-19-37-833554__adaptive-rejection-sampler/adaptive-rejection-sampler__ZmDHprq/result.json
bn-fit-modify,Hard,1,passed,9,9,completed,stop,16,16,67838,108352,0,11024,,True,agent/pi-sessions/2026-09-06T23-17-41-908Z_01a07903-6992-7773-8aff-d43b3b2a947a.jsonl,339.32341,40.418404,415.796275,2026-09-06T23:24:09.055811Z,1,bn-fit-modify__k2gMTqZ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__23-17-11-970840__bn-fit-modify/bn-fit-modify__k2gMTqZ/result.json
break-filter-js-from-html,Medium,1,passed,1,1,completed,stop,17,18,60945,64512,0,9196,,True,agent/pi-sessions/2026-09-07T15-08-29-724Z_01a07c69-e49b-7636-b2c1-497167ff03aa.jsonl,246.423797,37.16187,317.263343,2026-09-07T15:13:19.398931Z,1,break-filter-js-from-html__ec9H4E4,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-08-01-184263__break-filter-js-from-html/break-filter-js-from-html__ec9H4E4/result.json
build-cython-ext,Medium,1,passed,11,11,timeout,deadline,45,59,214495,1179776,0,28480,,True,agent/pi-sessions/2026-09-07T15-37-00-466Z_01a07c83-ff30-713e-be3f-bad139cd9a41.jsonl,907.788457,13.798097,955.590134,2026-09-07T15:52:28.190520Z,1,build-cython-ext__j3LiKre,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-36-31-517651__build-cython-ext/build-cython-ext__j3LiKre/result.json
build-pmars,Medium,1,passed,4,4,completed,stop,25,33,134099,293376,0,14592,,True,agent/pi-sessions/2026-09-07T15-40-25-676Z_01a07c87-20c9-74f0-8ce5-abe430ab6027.jsonl,381.988813,24.16005,442.026669,2026-09-07T15:47:17.641093Z,1,build-pmars__ZFJzew5,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-39-54-587540__build-pmars/build-pmars__ZFJzew5/result.json
build-pov-ray,Medium,0,failed,2,3,completed,stop,91,90,542685,4134464,0,64559,,True,agent/pi-sessions/2026-09-06T22-44-51-322Z_01a078e5-57f9-7774-989d-92328e2e86bc.jsonl,1878.35769,44.386839,1989.894197,2026-09-06T23:17:04.653376Z,1,build-pov-ray__mMwFwBL,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__22-43-53-557188__build-pov-ray/build-pov-ray__mMwFwBL/result.json
caffe-cifar-10,Medium,1,passed,6,6,completed,stop,32,49,468141,1100544,0,70800,,True,agent/pi-sessions/2026-09-06T18-43-24-469Z_01a07808-4ab4-748f-baa3-063edef68222.jsonl,3101.452043,61.276752,3223.50586,2026-09-06T19:36:20.360963Z,1,caffe-cifar-10__xyFgc3j,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__18-42-33-715504__caffe-cifar-10/caffe-cifar-10__xyFgc3j/result.json
cancel-async-tasks,Hard,1,passed,6,6,completed,stop,18,20,112677,295680,0,24995,,True,agent/pi-sessions/2026-09-07T15-41-33-388Z_01a07c88-294a-723e-8d75-c7d1d985c9e2.jsonl,522.705648,41.831971,598.751264,2026-09-07T15:51:03.753026Z,1,cancel-async-tasks__wsAsa4G,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-41-03-810812__cancel-async-tasks/cancel-async-tasks__wsAsa4G/result.json
chess-best-move,Medium,0,failed,0,1,timeout,deadline,11,12,47820,40320,0,17284,,True,agent/pi-sessions/2026-09-07T15-47-52-426Z_01a07c8d-f1e9-73e2-8889-5ca2f8be37ec.jsonl,907.506682,29.347173,970.552979,2026-09-07T16:03:34.970795Z,1,chess-best-move__XY8ifKx,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-47-23-512077__chess-best-move/chess-best-move__XY8ifKx/result.json
circuit-fibsqrt,Hard,0,failed,2,3,max_token,length,3,2,8677,2560,0,67027,,True,agent/pi-sessions/2026-09-06T23-24-44-640Z_01a07909-dcdf-73cd-8b4c-e3a2308a0990.jsonl,1158.746462,19.9864,1212.557944,2026-09-06T23:44:28.000472Z,1,circuit-fibsqrt__gdqecLb,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__23-24-14-291377__circuit-fibsqrt/circuit-fibsqrt__gdqecLb/result.json
cobol-modernization,Easy,0,failed,1,3,timeout,deadline,14,16,141483,113280,0,49037,,True,agent/pi-sessions/2026-09-07T15-51-37-079Z_01a07c91-5f74-76f3-8c14-04a726967bfb.jsonl,907.762271,28.156372,970.314517,2026-09-07T16:07:20.058331Z,1,cobol-modernization__rwTjKBL,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-51-08-788877__cobol-modernization/cobol-modernization__rwTjKBL/result.json
code-from-image,Medium,1,passed,2,2,completed,stop,19,18,16594,43008,0,4270,,True,agent/pi-sessions/2026-09-07T15-11-24-731Z_01a07c6c-903a-7364-ba91-e32620757772.jsonl,352.307978,17.781055,403.566591,2026-09-07T15:17:41.195219Z,1,code-from-image__soYdUfH,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-10-56-625666__code-from-image/code-from-image__soYdUfH/result.json
compile-compcert,Medium,1,passed,3,3,timeout,deadline,53,59,306538,1128768,0,40418,,True,agent/pi-sessions/2026-09-07T11-41-41-327Z_01a07bac-8e4e-7335-aebf-651b9e698d5a.jsonl,2405.51819,19.676718,2490.374899,2026-09-07T12:22:21.523268Z,4,compile-compcert__H9MQyJJ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__11-40-49-487190__compile-compcert/compile-compcert__H9MQyJJ/result.json
configure-git-webserver,Hard,0,failed,0,1,completed,stop,15,17,73902,121984,0,21289,,True,agent/pi-sessions/2026-09-07T15-53-23-882Z_01a07c93-00a8-7782-bdee-9f57ca957a9e.jsonl,637.06793,24.869438,717.735046,2026-09-07T16:04:33.270926Z,1,configure-git-webserver__93sA3RL,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-52-34-435269__configure-git-webserver/configure-git-webserver__93sA3RL/result.json
constraints-scheduling,Medium,1,passed,3,3,completed,stop,6,8,21411,57600,0,16546,,True,agent/pi-sessions/2026-09-07T15-13-54-431Z_01a07c6e-d8fc-757c-8025-ca856918681e.jsonl,290.642521,42.31918,367.871071,2026-09-07T15:19:33.086020Z,1,constraints-scheduling__orCuYDG,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-13-24-010539__constraints-scheduling/constraints-scheduling__orCuYDG/result.json
count-dataset-tokens,Medium,0,failed,0,1,timeout,deadline,16,16,35266,85248,0,7859,,True,agent/pi-sessions/2026-09-07T16-04-04-692Z_01a07c9c-c7d1-72a0-9085-46cedb1ba41e.jsonl,907.24605,23.470782,962.585355,2026-09-07T16:19:43.280781Z,1,count-dataset-tokens__hUAZszC,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-03-39-580063__count-dataset-tokens/count-dataset-tokens__hUAZszC/result.json
crack-7z-hash,Medium,1,passed,2,2,completed,stop,17,18,33676,44928,0,1387,,True,agent/pi-sessions/2026-09-07T12-23-18-454Z_01a07bd2-a8b5-74ad-8336-cb8efe62e9f9.jsonl,528.878608,24.044097,608.404065,2026-09-07T12:32:37.985101Z,3,crack-7z-hash__GQtd9ZS,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__12-22-28-396519__crack-7z-hash/crack-7z-hash__GQtd9ZS/result.json
custom-memory-heap-crash,Medium,1,passed,6,6,completed,stop,38,54,365477,1053504,0,54275,,True,agent/pi-sessions/2026-09-07T11-41-15-882Z_01a07bac-2ae7-7057-b165-84b7c56d5b89.jsonl,1267.936726,91.463161,1391.253744,2026-09-07T12:04:02.396832Z,3,custom-memory-heap-crash__Dh5TPLA,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__11-40-49-489529__custom-memory-heap-crash/custom-memory-heap-crash__Dh5TPLA/result.json
db-wal-recovery,Medium,1,passed,7,7,completed,stop,11,13,53691,63424,0,6878,,True,agent/pi-sessions/2026-09-07T16-05-09-351Z_01a07c9d-c465-70fc-8b54-2c339175b9aa.jsonl,147.557465,45.400325,228.492842,2026-09-07T16:08:28.158571Z,1,db-wal-recovery__6W3XAtV,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-04-38-594370__db-wal-recovery/db-wal-recovery__6W3XAtV/result.json
distribution-search,Medium,1,passed,4,4,completed,stop,9,8,76636,133504,0,25593,,True,agent/pi-sessions/2026-09-06T23-45-03-173Z_01a0791c-74c3-728e-887a-53c1e10db138.jsonl,407.085727,18.707178,460.230232,2026-09-06T23:52:14.805522Z,1,distribution-search__NT5S5fG,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__23-44-33-399308__distribution-search/distribution-search__NT5S5fG/result.json
dna-assembly,Hard,0,failed,0,1,timeout,deadline,6,9,95349,61568,0,101003,,True,agent/pi-sessions/2026-09-07T12-05-11-087Z_01a07bc2-112c-754a-9d7c-80766360a681.jsonl,1807.184432,27.386539,1902.178715,2026-09-07T12:35:52.465150Z,2,dna-assembly__VvDzMPL,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__12-04-09-106393__dna-assembly/dna-assembly__VvDzMPL/result.json
dna-insert,Medium,1,passed,1,1,completed,stop,12,14,133787,223360,0,39995,,True,agent/pi-sessions/2026-09-07T12-34-35-755Z_01a07bdc-fe69-7250-b5e5-375b70724fa4.jsonl,861.956239,26.301283,1005.571063,2026-09-07T12:49:30.832198Z,1,dna-insert__nxVKSuA,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__12-32-44-102684__dna-insert/dna-insert__nxVKSuA/result.json
extract-elf,Medium,0,failed,0,2,timeout,deadline,12,23,127016,70336,0,48477,,True,agent/pi-sessions/2026-09-07T16-08-01-595Z_01a07ca0-653a-74b6-9ec4-06811bfa16c2.jsonl,908.135232,41.906867,990.853621,2026-09-07T16:23:57.201089Z,1,extract-elf__MJcNavd,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-07-25-231798__extract-elf/extract-elf__MJcNavd/result.json
extract-moves-from-video,Hard,0,failed,0,2,timeout,interrupted return_code=137,30,32,52048,132672,0,6841,,True,agent/pi-sessions/2026-09-07T12-37-31-938Z_01a07bdf-aea1-7066-bf76-69e8921c85aa.jsonl,1154.330739,26.549338,1279.938288,2026-09-07T12:57:19.590320Z,1,extract-moves-from-video__4cRAoAb,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__12-35-58-553510__extract-moves-from-video/extract-moves-from-video__4cRAoAb/result.json
feal-differential-cryptanalysis,Hard,1,passed,1,1,completed,stop,15,14,130590,121600,0,24306,,True,agent/pi-sessions/2026-09-07T12-57-52-818Z_01a07bf2-4fb0-7548-8bd9-5c74d62b69d6.jsonl,501.875649,695.896252,1229.678844,2026-09-07T13:17:56.014293Z,1,feal-differential-cryptanalysis__Feu9RCu,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__12-57-25-390810__feal-differential-cryptanalysis/feal-differential-cryptanalysis__Feu9RCu/result.json
feal-linear-cryptanalysis,Hard,1,passed,1,1,completed,stop,19,21,258002,599168,0,55155,,True,agent/pi-sessions/2026-09-07T13-18-28-404Z_01a07c05-2a32-731e-a68b-d4e66a13fe75.jsonl,1126.49398,124.269148,1281.891925,2026-09-07T13:39:24.589012Z,1,feal-linear-cryptanalysis__QBn5Kyr,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__13-18-01-750602__feal-linear-cryptanalysis/feal-linear-cryptanalysis__QBn5Kyr/result.json
filter-js-from-html,Medium,0,failed,1,2,timeout,deadline,14,14,445723,367616,0,107162,,True,agent/pi-sessions/2026-09-06T21-11-09-545Z_01a0788f-8fe8-76a7-96cd-06ffac397a80.jsonl,1807.972167,390.825472,2238.301808,2026-09-06T21:47:59.161229Z,1,filter-js-from-html__Ae3U6TH,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__21-10-39-259046__filter-js-from-html/filter-js-from-html__Ae3U6TH/result.json
financial-document-processor,Medium,1,passed,7,7,completed,stop,22,24,122362,289984,0,17141,,True,agent/pi-sessions/2026-09-07T13-27-56-986Z_01a07c0d-d736-73fc-a1e7-8d098d99ff40.jsonl,566.366487,298.523726,941.396279,2026-09-07T13:42:29.067489Z,1,financial-document-processor__PjwTkvo,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__13-26-46-417103__financial-document-processor/financial-document-processor__PjwTkvo/result.json
