task_id,difficulty,astra_verify_status,astra_token_input,astra_token_output,astra_token_total,astra_token_accounting_status,astra_token_reliable,hermes_verify_status,hermes_token_input,hermes_token_output,hermes_token_total,hermes_token_accounting_status,hermes_token_reliable
adaptive-rejection-sampler,medium,no_pass,476215,12784,488999,session_reconciled,true,pass,316010,95195,411205,reported,true
bn-fit-modify,hard,pass,132621,20757,153378,session_reconciled,true,pass,255385,5411,260796,reported,true
break-filter-js-from-html,medium,pass,124503,20624,145127,session_reconciled,true,pass,289602,45809,335411,reported,true
build-cython-ext,medium,pass,1233019,56799,1289818,session_reconciled,true,pass,4045450,18195,4063645,reported,true
build-pmars,medium,no_pass,1261503,75234,1336737,session_reconciled,true,pass,1012900,4845,1017745,reported,true
build-pov-ray,medium,no_pass,1765187,45774,1810961,session_reconciled,true,no_pass,2193399,9245,2202644,reported,true
caffe-cifar-10,medium,pass,1134985,31036,1166021,session_reconciled,true,no_pass,2426341,6896,2433237,reported,true
cancel-async-tasks,hard,no_pass,52754,13129,65883,session_reconciled,true,no_pass,138345,17152,155497,reported,true
chess-best-move,medium,no_pass,73893,6143,80036,session_reconciled,true,pass,299500,21337,320837,reported,true
circuit-fibsqrt,hard,no_pass,353367,13982,367349,server_reconciled,true,no_pass,15738,177,15915,reported,true
cobol-modernization,easy,pass,195394,48618,244012,session_reconciled,true,pass,1544727,28783,1573510,reported,true
code-from-image,medium,no_pass,371711,111965,483676,session_reconciled,true,pass,82038,1043,83081,reported,true
compile-compcert,medium,pass,634957,23973,658930,complete_terminal_no_trace,false,no_pass,,,,missing_after_model_activity,false
configure-git-webserver,hard,pass,257314,51744,309058,session_reconciled,true,no_pass,331432,2106,333538,reported,true
constraints-scheduling,medium,pass,45950,17359,63309,session_reconciled,true,pass,122489,12755,135244,reported,true
count-dataset-tokens,medium,pass,216654,21560,238214,session_reconciled,true,pass,595439,17932,613371,reported,true
crack-7z-hash,medium,no_pass,493561,30863,524424,session_reconciled,true,pass,745381,1935,747316,reported,true
custom-memory-heap-crash,medium,pass,766409,185183,951592,session_reconciled,true,pass,674537,26244,700781,reported,true
db-wal-recovery,medium,pass,97354,4175,101529,session_reconciled,true,pass,3347220,64572,3411792,reported,true
distribution-search,medium,no_pass,9480,7903,17383,session_reconciled,true,pass,69266,60081,129347,reported,true
dna-assembly,hard,no_pass,579637,54240,633877,session_reconciled,true,no_pass,1760722,152539,1913261,reported,true
dna-insert,medium,no_pass,234975,51365,286340,server_reconciled,true,no_pass,945569,16254,961823,reported,true
extract-elf,medium,no_pass,79089,37071,116160,session_reconciled,true,pass,352239,65641,417880,reported,true
extract-moves-from-video,hard,no_pass,780975,49962,830937,complete_no_trace_crosscheck,false,no_pass,,,,missing_after_model_activity,false
feal-differential-cryptanalysis,hard,pass,119270,58221,177491,session_reconciled,true,pass,249392,29487,278879,reported,true
feal-linear-cryptanalysis,hard,pass,297569,77393,374962,session_reconciled,true,no_pass,15618,174,15792,reported,true
filter-js-from-html,medium,no_pass,9329,4897,14226,session_reconciled,true,pass,123540,3734,127274,reported,true
financial-document-processor,medium,pass,209634,49506,259140,session_reconciled,true,pass,442564,13087,455651,reported,true
fix-code-vulnerability,hard,pass,416219,62505,478724,session_reconciled,true,pass,1007155,4694,1011849,reported,true
fix-git,easy,pass,160424,10531,170955,session_reconciled,true,pass,222101,3424,225525,reported,true
fix-ocaml-gc,hard,pass,1108888,144847,1253735,session_reconciled,true,pass,3374785,21413,3396198,reported,true
gcode-to-text,medium,no_pass,513144,95855,608999,session_reconciled,true,no_pass,,,,missing_after_model_activity,false
git-leak-recovery,medium,pass,118714,7370,126084,session_reconciled,true,pass,135889,1350,137239,reported,true
git-multibranch,medium,pass,875455,53536,928991,session_reconciled,true,no_pass,153833,25608,179441,reported,true
gpt2-codegolf,hard,no_pass,327449,25396,352845,server_reconciled,true,no_pass,,,,missing_after_model_activity,false
headless-terminal,medium,pass,63824,31915,95739,session_reconciled,true,pass,279578,29920,309498,reported,true
hf-model-inference,medium,no_pass,375217,23803,399020,session_reconciled,true,no_pass,106347,1589,107936,reported,true
install-windows-3.11,hard,no_pass,1000681,86050,1086731,session_reconciled,true,no_pass,2873943,20399,2894342,reported,true
kv-store-grpc,medium,no_pass,158890,9813,168703,session_reconciled,true,no_pass,274933,11239,286172,reported,true
large-scale-text-editing,medium,pass,92288,35842,128130,session_reconciled,true,pass,214466,31734,246200,reported,true
largest-eigenval,medium,pass,495964,,,session_input_only,false,pass,,,,missing_after_model_activity,false
llm-inference-batching-scheduler,hard,no_pass,25123,12264,37387,session_reconciled,true,pass,1751875,46768,1798643,reported,true
log-summary-date-ranges,medium,pass,69199,2005,71204,session_reconciled,true,pass,127364,2273,129637,reported,true
mailman,medium,no_pass,266769,69391,336160,session_reconciled,true,no_pass,4329273,73900,4403173,reported,true
make-doom-for-mips,hard,no_pass,1123373,162757,1286130,server_reconciled,true,no_pass,6778095,43246,6821341,reported,true
make-mips-interpreter,hard,no_pass,737928,115323,853251,server_reconciled,true,no_pass,6721214,86150,6807364,reported,true
mcmc-sampling-stan,hard,no_pass,792441,69395,861836,session_reconciled,true,pass,949682,6850,956532,reported,true
merge-diff-arc-agi-task,medium,pass,249995,57883,307878,session_reconciled,true,pass,498724,18625,517349,reported,true
model-extraction-relu-logits,hard,no_pass,186642,14934,201576,session_reconciled,true,pass,,,,missing_after_model_activity,false
modernize-scientific-stack,medium,pass,56876,1625,58501,session_reconciled,true,pass,258594,4276,262870,reported,true
mteb-leaderboard,medium,pass,2107163,116391,2223554,server_reconciled,true,no_pass,816619,13784,830403,reported,true
mteb-retrieve,medium,pass,612513,140202,752715,session_reconciled,true,no_pass,175985,2274,178259,reported,true
multi-source-data-merger,medium,pass,105140,7590,112730,session_reconciled,true,pass,184265,8806,193071,reported,true
nginx-request-logging,medium,pass,192142,30154,222296,session_reconciled,true,no_pass,197199,2478,199677,reported,true
openssl-selfsigned-cert,medium,pass,138038,16146,154184,session_reconciled,true,no_pass,69026,4119,73145,reported,true
overfull-hbox,easy,no_pass,57122,3920,61042,session_reconciled,true,pass,422672,53470,476142,reported,true
password-recovery,hard,pass,294645,49132,343777,session_reconciled,true,pass,349012,14065,363077,reported,true
path-tracing,hard,no_pass,197478,23320,220798,session_reconciled,true,pass,7230656,202669,7433325,reported,true
path-tracing-reverse,hard,no_pass,502519,54637,557156,session_reconciled,true,pass,,,,missing_after_model_activity,false
polyglot-c-py,medium,pass,38415,9245,47660,session_reconciled,true,pass,81015,6055,87070,reported,true
polyglot-rust-c,hard,no_pass,223617,12467,236084,session_reconciled,true,pass,80899,23571,104470,reported,true
portfolio-optimization,medium,no_pass,18856,258,19114,session_reconciled,true,pass,326269,29107,355376,reported,true
protein-assembly,hard,no_pass,306679,43169,349848,session_reconciled,true,no_pass,1873034,68804,1941838,reported,true
prove-plus-comm,easy,pass,48023,919,48942,session_reconciled,true,pass,95620,505,96125,reported,true
pypi-server,medium,pass,123366,5656,129022,session_reconciled,true,no_pass,522121,5084,527205,reported,true
pytorch-model-cli,medium,pass,234122,18158,252280,session_reconciled,true,pass,795216,5708,800924,reported,true
pytorch-model-recovery,medium,pass,158413,15905,174318,session_reconciled,true,no_pass,331595,15539,347134,reported,true
qemu-alpine-ssh,medium,pass,459948,73672,533620,server_reconciled,true,no_pass,,,,missing_after_model_activity,false
qemu-startup,medium,no_pass,414885,118617,533502,server_reconciled,true,no_pass,682660,10446,693106,reported,true
query-optimize,medium,pass,104968,9678,114646,session_reconciled,true,no_pass,201282,8797,210079,reported,true
raman-fitting,medium,no_pass,155724,56755,212479,session_reconciled,true,no_pass,,,,missing_after_model_activity,false
regex-chess,hard,no_pass,19561,4242,23803,session_reconciled,true,no_pass,0,0,0,suspect_zero_after_model_activity,false
regex-log,medium,no_pass,245320,9304,254624,session_reconciled,true,pass,141857,66689,208546,reported,true
reshard-c4-data,medium,no_pass,20202,9682,29884,session_reconciled,true,pass,647263,34719,681982,reported,true
rstan-to-pystan,medium,no_pass,160170,25257,185427,session_reconciled,true,no_pass,642791,11377,654168,reported,true
sam-cell-seg,hard,pass,981031,101284,1082315,session_reconciled,true,pass,3210449,19314,3229763,reported,true
sanitize-git-repo,medium,pass,210367,45648,256015,session_reconciled,true,no_pass,7908487,24996,7933483,reported,true
schemelike-metacircular-eval,medium,no_pass,21937,209,22146,session_reconciled,true,no_pass,1618804,1570,1620374,reported,true
sparql-university,hard,pass,239171,65877,305048,session_reconciled,true,pass,350555,33897,384452,reported,true
sqlite-db-truncate,medium,pass,107459,21306,128765,session_reconciled,true,pass,122415,10733,133148,reported,true
