task_id,author_difficulty,attempt_count,selected_finished_at,reward,verify_status,verifier_progress,verifier_tests,verifier_passed,verifier_failed,verifier_skipped,product_terminal_status,dsh_finish_reason,dsh_model_request_steps,dsh_tool_calls,e2e_s,agent_execution_s,verifier_s,fresh_input_tokens,cache_read_tokens,output_tokens,usage_source,selected_trial_path
adaptive-rejection-sampler,medium,1,2026-08-18T04:53:03.687121Z,1,pass,9/9,9,9,0,0,completed,completed,24,23,642.613172,570.35831,20.521,23492,326656,17157,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-42-20/adaptive-rejection-sampler__RUgSnkj
bn-fit-modify,hard,1,2026-08-18T03:04:23.722545Z,1,pass,9/9,9,9,0,0,completed,completed,15,14,277.257697,231.434902,24.778659,29271,43200,4620,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__10-59-46/bn-fit-modify__3i9HuVR
break-filter-js-from-html,medium,1,2026-08-18T04:37:23.722479Z,1,pass,1/1,1,1,0,0,completed,completed,21,24,278.103055,236.648265,21.700627,10880,93952,3849,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-32-45/break-filter-js-from-html__CYn4qA2
build-cython-ext,medium,1,2026-08-18T04:54:56.006688Z,1,pass,11/11,11,11,0,0,completed,max_turns,50,57,566.362163,539.167988,7.652385,27269,786816,5944,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-45-29/build-cython-ext__RkQqStK
build-pmars,medium,1,2026-08-18T04:56:39.521380Z,1,pass,4/4,4,4,0,0,completed,completed,40,44,502.576307,469.451333,12.629977,19009,320256,4300,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-48-16/build-pmars__tzaoP2Q
build-pov-ray,medium,1,2026-08-18T03:13:52.732323Z,0,no_pass,0/3,3,0,3,0,completed,max_turns,50,54,848.554986,740.52867,19.616874,52128,475456,6297,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__10-59-43/build-pov-ray__jicsPg9
caffe-cifar-10,medium,2,2026-08-17T11:45:49.208026Z,0,no_pass,3/6,6,3,3,0,completed,max_turns,50,53,2585.426257,2481.237389,11.632315,20162,365056,4305,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-17__19-02-43/caffe-cifar-10__ZDrRRFH
cancel-async-tasks,hard,1,2026-08-18T04:55:52.778433Z,1,pass,6/6,6,6,0,0,completed,completed,6,5,166.679557,103.051782,25.743838,5929,8448,2815,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-53-05/cancel-async-tasks__nGhYLNK
chess-best-move,medium,1,2026-08-18T05:03:48.417410Z,0,no_pass,0/1,1,0,1,0,completed,completed,31,30,530.155688,496.004952,14.085289,40692,455744,20458,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-54-57/chess-best-move__TwZ7ShB
circuit-fibsqrt,hard,1,2026-08-18T08:15:31.029533Z,0,no_pass,2/3,3,2,1,0,completed,max_turns,50,51,1851.84899,1818.258219,13.904853,85590,1841152,46450,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__15-44-38/circuit-fibsqrt__x5iUrEg
