task,status,terminal,kind,source,run_id,original_eval_status,failure_category,eval_override,e2e_seconds,agent_seconds,evaluator_seconds,orchestration_seconds,tool_calls,tool_failures,requests,completed,failed,stream,budget_exceeded,usage_count,token_input,token_output,token_total,cache_read,usage_reliable,token_note
ab-testing,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/ab-testing/attempt-1-20260912T153559144877Z,astra969-ab-testing-20260912T153559144877Z,pass,none,,479.673539,222.378373,11.471249146037735,245.82391685396226,23,0,16,16,1,15,False,15,540808,16861,557669,488576,False,
academic-pdf-report,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/astra969-academic-pdf-report-retest-20260912T160615Z,astra969-academic-pdf-report-retest-20260912T160615Z,pass,none,,564.094524,464.923334,6.4764628109987825,92.69472718900118,73,5,30,30,2,29,False,28,1611226,28175,1639401,1509888,False,
academic-warning,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/academic-warning/attempt-2-20260912T161621589668Z,astra969-academic-warning-20260912T161621589668Z,pass,none,,773.964021,419.718092,188.49450550298207,165.75142349701792,41,0,25,25,1,24,False,24,1167261,34454,1201715,1089408,False,
add-bibtex,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/add-bibtex/attempt-1-20260912T162916546453Z,astra969-add-bibtex-20260912T162916546453Z,pass,none,,792.669356,689.962482,6.4332694029435515,96.27360459705642,66,9,50,50,2,48,False,48,3146120,62796,3208916,3003264,False,
apply-phd-email,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/apply-phd-email/attempt-1-20260913T044506048204Z,astra969-apply-phd-email-20260913T044506048204Z,pass,none,,284.218966,180.292807,4.32220089097973,99.60395810902028,28,0,19,19,1,18,False,18,617350,9927,627277,570752,False,
arrange-workspace,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/arrange-workspace/attempt-1-20260912T164251856919Z,astra969-arrange-workspace-20260912T164251856919Z,no_pass,completed_but_no_pass,,301.897167,192.725561,8.117769864038564,101.05383613596146,19,0,18,18,0,17,False,18,785333,22171,807504,713472,True,
canvas-arrange-exam,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/canvas-arrange-exam/attempt-3-20260912T180740392814Z,astra969-canvas-arrange-exam-20260912T180740392814Z,pass,none,,869.488352,538.538477,8.119650075910613,322.8302249240894,79,1,30,30,1,29,False,29,2158773,69106,2227879,2000000,False,
canvas-art-manager,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/canvas-art-manager/attempt-1-20260912T182210622796Z,astra969-canvas-art-manager-20260912T182210622796Z,pass,none,,1039.439486,921.078437,14.320608968031593,104.04044003196839,186,1,55,55,1,53,False,54,5497247,96460,5593707,5261952,False,
canvas-art-quiz,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/canvas-art-quiz/attempt-1-20260912T183930661147Z,astra969-canvas-art-quiz-20260912T183930661147Z,pass,none,,289.031779,185.940729,7.9426577559206635,95.1483922440793,19,0,19,19,1,18,False,18,717302,12273,729575,657664,False,
canvas-do-quiz,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/canvas-do-quiz/attempt-1-20260912T184420470062Z,astra969-canvas-do-quiz-20260912T184420470062Z,pass,none,,920.840127,746.447813,13.013528840034269,161.3787851599658,128,7,36,36,1,34,False,35,3336428,90808,3427236,3143424,False,
canvas-homework-grader-python,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/canvas-homework-grader-python/attempt-1-20260912T185942074816Z,astra969-canvas-homework-grader-python-20260912T185942074816Z,pass,none,,504.633919,356.431241,19.014948514988646,129.18772948501135,70,1,37,37,1,36,False,36,1785529,22651,1808180,1644288,False,
canvas-list-test,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/canvas-list-test/attempt-1-20260912T190807504209Z,astra969-canvas-list-test-20260912T190807504209Z,no_pass,completed_but_no_pass,,1023.522721,810.475806,8.332967115100473,204.71394788489954,60,0,56,56,1,53,False,55,3555389,56091,3611480,3425408,False,
canvas-new-students-notification,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/canvas-new-students-notification/attempt-1-20260912T192512091522Z,astra969-canvas-new-students-notification-20260912T192512091522Z,pass,none,,503.320351,372.354721,19.70954712596722,111.25608287403281,82,2,31,31,1,30,False,30,1548510,32755,1581265,1388288,False,
canvas-submit-late-work,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/canvas-submit-late-work/attempt-1-20260912T193336305791Z,astra969-canvas-submit-late-work-20260912T193336305791Z,pass,none,,435.4102,312.468614,10.858370664995164,112.08321533500481,31,0,21,21,1,20,False,20,1072388,19292,1091680,996608,False,
cooking-guidance,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/cooking-guidance/attempt-1-20260912T194052599812Z,astra969-cooking-guidance-20260912T194052599812Z,pass,none,,542.466012,440.062306,7.6597452169517055,94.7439607830483,58,0,19,19,1,18,False,18,1151710,64727,1216437,1026304,False,
course-assistant,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/course-assistant/attempt-1-20260912T194955923164Z,astra969-course-assistant-20260912T194955923164Z,no_pass,completed_but_no_pass,,262.778404,128.053485,21.956114017986692,112.76880498201334,25,0,15,15,0,14,False,15,496727,11551,508278,446848,True,
course-schedule,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/course-schedule/attempt-1-20260912T195419364563Z,astra969-course-schedule-20260912T195419364563Z,pass,none,,420.782468,320.639575,7.289649512968026,92.85324348703199,22,0,15,15,0,14,False,15,878982,54015,932997,784128,True,
