position,task_id,system,batch,state,result_available,agent_executed,evaluator_executed,verify_status,run_validity,terminal_status,failure_category,incomplete_stage,incomplete_reason,run_id,attempt_ordinal,source,run_directory,started_at,start_time_source,finished_at,observed_seconds,e2e_seconds,agent_seconds,evaluator_seconds,orchestration_seconds,timeout,timeout_scope,normal_e2e_success,artifact_gate_status,benchmark_status,experiment_id,product_version,node_version,model_id,model_provider,thinking,reasoning_effort,temperature,agent_deadline_seconds,budget_tier,mcp_tool_count,model_proxy_transport,tool_calls,tool_failures,started_only_tool_calls,claim_done_seen,terminal_tool_counts,model_request_limit,model_request_limit_exceeded,model_requests_started,model_requests_completed,model_requests_failed,model_requests_successful_events,stream_requests,non_stream_requests,model_transport_errors,model_http_error_responses,model_provider_error_responses,model_error_type_counts,model_http_status_counts,connection_reused_true,connection_reused_false,connection_reused_unknown,token_input,token_output,token_total,cache_read_tokens,token_reliable,token_note,token_usage_reported_completed,token_usage_missing_completed,preprocess_status,running_status,evaluation_status,last_lifecycle_event,last_lifecycle_at,internal_nonstream_requests,internal_nonstream_requests_completed,internal_nonstream_token_input,internal_nonstream_token_output,internal_nonstream_token_total,internal_nonstream_usage_reported_completed,retained_requests_completed_excluding_internal_nonstream,retained_requests_excluding_internal_nonstream,retained_usage_missing_completed_excluding_internal_nonstream,retained_usage_reported_completed_excluding_internal_nonstream,token_excluding_internal_nonstream_input,token_excluding_internal_nonstream_note,token_excluding_internal_nonstream_output,token_excluding_internal_nonstream_reliable,token_excluding_internal_nonstream_total
1,find-alita-paper,dsh,toolathlon-dsh-108,complete,True,True,True,pass,valid,completed,none,,,dsh-108-001-find-alita-paper-a1,1,toolathlon-dsh-108,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108/runs/dsh/find-alita-paper/dsh-108-001-find-alita-paper-a1,2026-08-19T02:26:24.650336+00:00,run.json,2026-08-19T02:27:44.950180+00:00,80.299844,80.299844,53.24504514300497,7.238123395014554,19.816675461980466,False,none,True,passed,exploratory_dsh_only,toolathlon-dsh-0.1.0-rc.7-v1,0.1.0-rc.7,22.19.0,deepseek-v4-flash,deepseek,enabled,max,0.0,1800,R1,19,,11,0,0,False,"{""bash"":5,""arxiv_local-download_paper"":2,""arxiv_local-search_papers"":1,""scholarly-search-arxiv"":1,""arxiv_local-list_papers"":1,""local-claim_done"":1}",100,False,8,8,0,8,8,0,0,0,0,{},"{""200"":8}",0,0,8,190853,2169,193022,164096,True,all_completed_responses_reported,8,0,done,,pass,artifact_validation.end,2026-08-19T02:27:45.923401+00:00,0,0,,,,0,8,8,0,8,190853,all_retained_completed_responses_reported,2169,True,193022
1,find-alita-paper,dsh,toolathlon-dsh-108-proxy-fix-v1,incomplete,False,False,False,missing,missing,missing,infra_incomplete,preflight,credential manifest unavailable during preflight,dsh-108-001-find-alita-paper-a1-preflight-failed-manifest-missing-20260819T084326Z,1,toolathlon-dsh-108-proxy-fix-v1,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108-proxy-fix-v1/runs/dsh/find-alita-paper/dsh-108-001-find-alita-paper-a1-preflight-failed-manifest-missing-20260819T084326Z,2026-08-19T08:43:26.187121+00:00,lifecycle_event,2026-08-19T08:43:26.188559+00:00,0.001438,,,,,,,False,,,,,,,,,,,,,,,,,,,{},,,,,,0,,,0,0,0,{},{},0,0,0,,,,,,,,,,,,cleanup.end,2026-08-19T08:43:26.188559+00:00,,,,,,,,,,,,,,,
1,find-alita-paper,dsh,toolathlon-dsh-108-proxy-fix-v1,complete,True,True,True,pass,valid,completed,none,,,dsh-108-001-find-alita-paper-a1,1,toolathlon-dsh-108-proxy-fix-v1,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108-proxy-fix-v1/runs/dsh/find-alita-paper/dsh-108-001-find-alita-paper-a1,2026-08-19T08:57:17.379776+00:00,run.json,2026-08-19T08:59:22.459714+00:00,125.079938,125.079938,98.20575852500042,7.231883440981619,19.64229603401796,False,none,True,passed,exploratory_dsh_only,toolathlon-dsh-0.1.0-rc.7-v1,0.1.0-rc.7,22.19.0,deepseek-v4-flash,deepseek,enabled,max,0.0,1800,R1,19,,9,0,0,False,"{""bash"":6,""arxiv_local-search_papers"":1,""scholarly-search-arxiv"":1,""arxiv_local-list_papers"":1}",100,False,10,10,2,8,10,0,2,2,0,"{""SSLEOFError"":1,""downstream_disconnected"":1}","{""200"":8,""502"":2}",0,0,10,184910,2214,187124,169984,False,partial_or_missing_provider_usage,8,2,done,,pass,artifact_validation.end,2026-08-19T08:59:23.451521+00:00,0,0,,,,0,10,10,2,8,184910,partial_or_missing_retained_provider_usage,2214,False,187124
1,find-alita-paper,dsh,toolathlon-dsh-108-transport-rst-v2,complete,True,True,True,pass,valid,completed,none,,,dsh-108-001-find-alita-paper-a1,1,toolathlon-dsh-108-transport-rst-v2,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108-transport-rst-v2/runs/dsh/find-alita-paper/dsh-108-001-find-alita-paper-a1,2026-08-19T09:29:23.094776+00:00,run.json,2026-08-19T09:30:31.010949+00:00,67.916173,67.916173,41.44619425898418,7.103682589018717,19.366296151997105,False,none,True,passed,exploratory_dsh_only,toolathlon-dsh-0.1.0-rc.7-v1,0.1.0-rc.7,22.19.0,deepseek-v4-flash,deepseek,enabled,max,0.0,1800,R1,19,,7,0,0,False,"{""bash"":4,""arxiv_local-search_papers"":1,""scholarly-search-arxiv"":1,""arxiv_local-download_paper"":1}",100,False,8,8,2,6,8,0,2,2,0,"{""SSLEOFError"":1,""downstream_disconnected"":1}","{""200"":6,""502"":2}",0,0,8,134615,1687,136302,119168,False,partial_or_missing_provider_usage,6,2,done,,pass,artifact_validation.end,2026-08-19T09:30:32.009115+00:00,0,0,,,,0,8,8,2,6,134615,partial_or_missing_retained_provider_usage,1687,False,136302
1,find-alita-paper,dsh,toolathlon-dsh-108-stream-fix-v1,complete,True,True,True,pass,valid,completed,none,,,dsh-108-001-find-alita-paper-a1,1,toolathlon-dsh-108-stream-fix-v1,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108-stream-fix-v1/runs/dsh/find-alita-paper/dsh-108-001-find-alita-paper-a1,2026-08-20T03:08:08.276237+00:00,run.json,2026-08-20T03:09:39.644471+00:00,91.368234,91.368234,61.99095517001115,7.897734232014045,21.479544597974808,False,none,True,passed,exploratory_dsh_only,toolathlon-dsh-0.1.0-rc.7-v1,0.1.0-rc.7,22.19.0,deepseek-v4-flash,deepseek,enabled,max,0.0,1800,R1,19,,11,0,0,False,"{""bash"":6,""arxiv_local-download_paper"":2,""arxiv_local-search_papers"":1,""scholarly-search-arxiv"":1,""arxiv_local-list_papers"":1}",100,False,9,9,2,7,9,0,2,2,0,"{""IncompleteRead"":1,""SSLEOFError"":1}","{""200"":7,""502"":2}",0,0,9,168442,2481,170923,151168,False,partial_or_missing_provider_usage,7,2,done,,pass,artifact_validation.end,2026-08-20T03:09:40.824369+00:00,0,0,,,,0,9,9,2,7,168442,partial_or_missing_retained_provider_usage,2481,False,170923
1,find-alita-paper,dsh,toolathlon-dsh-108-keepalive-v1,complete,True,True,True,pass,valid,completed,none,,,dsh-108-001-find-alita-paper-a1,1,toolathlon-dsh-108-keepalive-v1,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108-keepalive-v1/runs/dsh/find-alita-paper/dsh-108-001-find-alita-paper-a1,2026-08-20T06:25:02.629332+00:00,run.json,2026-08-20T06:26:30.762804+00:00,88.133472,88.133472,58.93496605195105,8.579655732028186,20.61885021602076,False,none,True,passed,exploratory_dsh_only,toolathlon-dsh-0.1.0-rc.7-v1,0.1.0-rc.7,22.19.0,deepseek-v4-flash,deepseek,enabled,max,0.0,1800,R1,19,,13,0,0,False,"{""bash"":5,""arxiv_local-download_paper"":3,""arxiv_local-search_papers"":1,""scholarly-search-arxiv"":1,""filesystem-list_allowed_directories"":1,""filesystem-directory_tree"":1,""filesystem-list_directory"":1}",100,False,11,11,1,10,11,0,1,1,0,"{""downstream_disconnected"":1}","{""200"":10,""502"":1}",0,0,11,240652,2553,243205,224640,False,partial_or_missing_provider_usage,10,1,done,,pass,artifact_validation.end,2026-08-20T06:26:31.835266+00:00,0,0,,,,0,11,11,1,10,240652,partial_or_missing_retained_provider_usage,2553,False,243205
1,find-alita-paper,dsh,toolathlon-dsh-108-node-undici-v1,complete,True,True,True,pass,valid,completed,none,,,dsh-108-001-find-alita-paper-a1,1,toolathlon-dsh-108-node-undici-v1,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108-node-undici-v1/runs/dsh/find-alita-paper/dsh-108-001-find-alita-paper-a1,2026-08-20T15:25:59.739485+00:00,run.json,2026-08-20T15:27:22.974491+00:00,83.235006,83.235006,50.6799581249943,12.797886956017464,19.757160918988234,False,none,True,passed,exploratory_dsh_only,toolathlon-dsh-0.1.0-rc.7-v1,0.1.0-rc.7,22.19.0,deepseek-v4-flash,deepseek,enabled,max,0.0,1800,R1,19,node_fetch_undici,10,0,0,False,"{""bash"":5,""arxiv_local-search_papers"":1,""scholarly-search-arxiv"":1,""arxiv_local-download_paper"":1,""grep"":1,""read"":1}",100,False,10,10,2,8,10,0,2,0,0,"{""ECONNRESET"":1,""UND_ERR_SOCKET"":1}","{""200"":8}",6,2,2,189050,2470,191520,172928,False,partial_or_missing_provider_usage,8,2,done,,pass,artifact_validation.end,2026-08-20T15:27:24.109793+00:00,0,0,,,,0,10,10,2,8,189050,partial_or_missing_retained_provider_usage,2470,False,191520
2,set-conf-cr-ddl,dsh,toolathlon-dsh-108,complete,True,True,True,pass,valid,completed,none,,,dsh-108-002-set-conf-cr-ddl-a1,1,toolathlon-dsh-108,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108/runs/dsh/set-conf-cr-ddl/dsh-108-002-set-conf-cr-ddl-a1,2026-08-19T02:28:30.322301+00:00,run.json,2026-08-19T02:30:03.403025+00:00,93.080724,93.080724,63.02168376598274,10.29881067801034,19.76022955600692,False,none,True,passed,exploratory_dsh_only,toolathlon-dsh-0.1.0-rc.7-v1,0.1.0-rc.7,22.19.0,deepseek-v4-flash,deepseek,enabled,max,0.0,1800,R1,32,,11,0,0,False,"{""emails-read_email"":4,""emails-check_connection"":1,""emails-get_folders"":1,""emails-get_emails"":1,""bash"":1,""google_calendar-list_events"":1,""google_calendar-create_event"":1,""google_calendar-get_event"":1}",100,False,10,10,3,7,10,0,3,3,0,"{""IncompleteRead"":1,""SSLEOFError"":2}","{""200"":7,""502"":3}",0,0,10,127888,4814,132702,107776,False,partial_or_missing_provider_usage,7,3,done,,pass,artifact_validation.end,2026-08-19T02:30:04.512007+00:00,0,0,,,,0,10,10,3,7,127888,partial_or_missing_retained_provider_usage,4814,False,132702
2,set-conf-cr-ddl,dsh,toolathlon-dsh-108-proxy-fix-v1,complete,True,True,True,no_pass,valid,crashed,product_error,,,dsh-108-002-set-conf-cr-ddl-a1,1,toolathlon-dsh-108-proxy-fix-v1,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108-proxy-fix-v1/runs/dsh/set-conf-cr-ddl/dsh-108-002-set-conf-cr-ddl-a1,2026-08-19T09:00:00.697875+00:00,run.json,2026-08-19T09:00:48.649631+00:00,47.951756,47.951756,17.379631332005374,10.735075572971255,19.837049095023374,False,none,False,passed,exploratory_dsh_only,toolathlon-dsh-0.1.0-rc.7-v1,0.1.0-rc.7,22.19.0,deepseek-v4-flash,deepseek,enabled,max,0.0,1800,R1,32,,5,0,0,False,"{""emails-read_email"":2,""emails-get_emails"":1,""emails-search_emails"":1,""bash"":1}",100,False,3,3,1,2,3,0,1,1,0,"{""IncompleteRead"":1}","{""200"":2,""502"":1}",0,0,3,25895,719,26614,24704,False,partial_or_missing_provider_usage,2,1,done,,fail,artifact_validation.end,2026-08-19T09:00:49.699829+00:00,0,0,,,,0,3,3,1,2,25895,partial_or_missing_retained_provider_usage,719,False,26614
2,set-conf-cr-ddl,dsh,toolathlon-dsh-108-transport-rst-v2,complete,True,True,True,pass,valid,crashed,product_error,,,dsh-108-002-set-conf-cr-ddl-a1,1,toolathlon-dsh-108-transport-rst-v2,/home/vagrant/moi-benchmark/astra/results/toolathlon-dsh-108-transport-rst-v2/runs/dsh/set-conf-cr-ddl/dsh-108-002-set-conf-cr-ddl-a1,2026-08-19T09:31:09.492897+00:00,run.json,2026-08-19T09:32:38.970992+00:00,89.478095,89.478095,59.24740957299946,10.61690672300756,19.613778703992978,False,none,True,passed,exploratory_dsh_only,toolathlon-dsh-0.1.0-rc.7-v1,0.1.0-rc.7,22.19.0,deepseek-v4-flash,deepseek,enabled,max,0.0,1800,R1,32,,13,0,0,False,"{""emails-read_email"":7,""google_calendar-list_events"":2,""emails-get_mailbox_stats"":1,""emails-get_emails"":1,""emails-search_emails"":1,""google_calendar-create_event"":1}",100,False,8,8,3,5,8,0,3,3,0,"{""IncompleteRead"":1,""SSLEOFError"":2}","{""200"":5,""502"":3}",0,0,8,99887,4876,104763,87936,False,partial_or_missing_provider_usage,5,3,done,,pass,artifact_validation.end,2026-08-19T09:32:40.095526+00:00,0,0,,,,0,8,8,3,5,99887,partial_or_missing_retained_provider_usage,4876,False,104763
